Tick,AntId,State,PosX,PosY,PosZ
1,0,Inactive,39.0018,0.1,24.0036
1,1,Inactive,39.0032,0.1,24.1976
1,2,Inactive,38.9965,0.1,24.4019
1,3,Inactive,39.0018,0.1,24.6036
1,4,Inactive,38.9969,0.1,24.7975
1,5,Inactive,38.9962,0.1,24.9988
1,6,Inactive,39,0.1,25.2
1,7,Inactive,38.9963,0.1,25.3986
1,8,Inactive,38.9962,0.1,25.5987
1,9,Inactive,38.9981,0.1,25.8035
1,10,Inactive,38.9962,0.1,26.0011
1,11,Inactive,38.9965,0.1,26.1981
1,12,Inactive,38.996,0.1,26.3995
1,13,Inactive,39.0014,0.1,26.6037
1,14,Inactive,38.9989,0.1,26.7962
1,15,Inactive,39.1978,0.1,23.9966
1,16,Inactive,39.1979,0.1,24.1966
1,17,Inactive,39.1974,0.1,24.397
1,18,Inactive,39.2,0.1,24.6
1,19,Inactive,39.2014,0.1,24.8038
1,20,Inactive,39.1973,0.1,25.0029
1,21,Inactive,39.2,0.1,25.2
1,22,Inactive,39.1975,0.1,25.3969
1,23,Inactive,39.1987,0.1,25.5962
1,24,Inactive,39.1983,0.1,25.7964
1,25,Inactive,39.1979,0.1,26.0034
1,26,Inactive,39.1963,0.1,26.1985
1,27,Inactive,39.2025,0.1,26.3969
1,28,Inactive,39.1983,0.1,26.6036
1,29,Inactive,39.2,0.1,26.8
1,30,Inactive,39.4,0.1,24
1,31,Inactive,39.3967,0.1,24.1978
1,32,Inactive,39.3968,0.1,24.4024
1,33,Inactive,39.4,0.1,24.6
1,34,Inactive,39.4,0.1,24.8
1,35,Inactive,39.4,0.1,25
1,36,Inactive,39.3975,0.1,25.2031
1,37,Inactive,39.4015,0.1,25.3963
1,38,Inactive,39.3983,0.1,25.6036
1,39,Inactive,39.3978,0.1,25.7967
1,40,Inactive,39.4,0.1,26
1,41,Inactive,39.4,0.1,26.2
1,42,Inactive,39.398,0.1,26.3966
1,43,Inactive,39.4,0.1,26.6
1,44,Inactive,39.3974,0.1,26.797
1,45,Inactive,39.6025,0.1,24.0031
1,46,Inactive,39.5967,0.1,24.2023
1,47,Inactive,39.6,0.1,24.4
1,48,Inactive,39.5981,0.1,24.5965
1,49,Inactive,39.6011,0.1,24.8038
1,50,Inactive,39.6,0.1,25
1,51,Inactive,39.6,0.1,25.2
1,52,Inactive,39.6,0.1,25.4
1,53,Inactive,39.6,0.1,25.6
1,54,Inactive,39.6,0.1,25.8
1,55,Inactive,39.6,0.1,26
1,56,Inactive,39.6,0.1,26.2
1,57,Inactive,39.6,0.1,26.4
1,58,Inactive,39.6,0.1,26.6
1,59,Inactive,39.6,0.1,26.8
1,60,Inactive,39.8,0.1,24
1,61,Inactive,39.8,0.1,24.2
1,62,Inactive,39.8,0.1,24.4
1,63,Inactive,39.8,0.1,24.6
1,64,Inactive,39.8,0.1,24.8
1,65,Inactive,39.8,0.1,25
1,66,Inactive,39.8,0.1,25.2
1,67,Inactive,39.8,0.1,25.4
1,68,Inactive,39.8,0.1,25.6
1,69,Inactive,39.8,0.1,25.8
1,70,Inactive,39.8,0.1,26
1,71,Inactive,39.8,0.1,26.2
1,72,Inactive,39.8,0.1,26.4
1,73,Inactive,39.8,0.1,26.6
1,74,Inactive,39.8,0.1,26.8
1,75,Inactive,40,0.1,24
1,76,Inactive,40,0.1,24.2
1,77,Inactive,40,0.1,24.4
1,78,Inactive,40,0.1,24.6
1,79,Inactive,40,0.1,24.8
1,80,Inactive,40,0.1,25
1,81,Inactive,40,0.1,25.2
1,82,Inactive,40,0.1,25.4
1,83,Inactive,40,0.1,25.6
1,84,Inactive,40,0.1,25.8
1,85,Inactive,40,0.1,26
1,86,Inactive,40,0.1,26.2
1,87,Inactive,40,0.1,26.4
1,88,Inactive,40,0.1,26.6
1,89,Inactive,40,0.1,26.8
1,90,Inactive,40.2,0.1,24
1,91,Inactive,40.2,0.1,24.2
1,92,Inactive,40.2,0.1,24.4
1,93,Inactive,40.2,0.1,24.6
1,94,Inactive,40.2,0.1,24.8
1,95,Inactive,40.2,0.1,25
1,96,Inactive,40.2,0.1,25.2
1,97,Inactive,40.2,0.1,25.4
1,98,Inactive,40.2,0.1,25.6
1,99,Inactive,40.2,0.1,25.8
1,100,Inactive,40.2,0.1,26
1,101,Inactive,40.2,0.1,26.2
1,102,Inactive,40.2,0.1,26.4
1,103,Inactive,40.2,0.1,26.6
1,104,Inactive,40.2,0.1,26.8
1,105,Inactive,40.4,0.1,24
1,106,Inactive,40.4,0.1,24.2
1,107,Inactive,40.4,0.1,24.4
1,108,Inactive,40.4,0.1,24.6
1,109,Inactive,40.4,0.1,24.8
1,110,Inactive,40.4,0.1,25
1,111,Inactive,40.4,0.1,25.2
1,112,Inactive,40.4,0.1,25.4
1,113,Inactive,40.4,0.1,25.6
1,114,Inactive,40.4,0.1,25.8
1,115,Inactive,40.4,0.1,26
1,116,Inactive,40.4,0.1,26.2
1,117,Inactive,40.4,0.1,26.4
1,118,Inactive,40.4,0.1,26.6
1,119,Inactive,40.4,0.1,26.8
1,120,Inactive,40.6,0.1,24
1,121,Inactive,40.6,0.1,24.2
1,122,Inactive,40.6,0.1,24.4
1,123,Inactive,40.6,0.1,24.6
1,124,Inactive,40.6,0.1,24.8
1,125,Inactive,40.6,0.1,25
1,126,Inactive,40.6,0.1,25.2
