Tick,State,Ants
1,Inactive,200
501,Inactive,200
1001,Inactive,200
1501,Inactive,193
1501,Scouting,7
2001,Scouting,26
2001,Inactive,174
2501,Scouting,32
2501,Inactive,168
3001,Scouting,32
3001,Inactive,168
3501,Scouting,32
3501,Inactive,168
4001,Scouting,32
4001,Inactive,168
4501,Scouting,32
4501,Inactive,168
5001,Scouting,32
5001,Inactive,168
5501,Scouting,31
5501,Assessing,1
5501,Inactive,168
6001,Scouting,31
6001,Assessing,1
6001,Inactive,168
6501,Scouting,30
6501,Assessing,2
6501,Inactive,168
7001,Scouting,29
7001,Assessing,3
7001,Inactive,168
7501,Scouting,29
7501,Assessing,3
7501,Inactive,168
8001,Scouting,29
8001,Assessing,3
8001,Inactive,168
8501,Scouting,29
8501,Assessing,3
8501,Inactive,168
9001,Scouting,28
9001,Assessing,4
9001,Inactive,168
9501,Scouting,27
9501,Assessing,5
9501,Inactive,168
10001,Scouting,27
10001,Assessing,5
10001,Inactive,168
10501,Scouting,27
10501,Assessing,5
10501,Inactive,168
11001,Scouting,27
11001,Assessing,5
11001,Inactive,168
11501,Scouting,27
11501,Assessing,5
11501,Inactive,168
12001,Scouting,27
12001,Assessing,5
12001,Inactive,168
12501,Scouting,27
12501,Assessing,5
12501,Inactive,168
13001,Scouting,27
13001,Assessing,5
13001,Inactive,168
13501,Scouting,27
13501,Assessing,5
13501,Inactive,168
14001,Scouting,27
14001,Assessing,5
14001,Inactive,168
14501,Scouting,27
14501,Assessing,5
14501,Inactive,168
15001,Scouting,27
15001,Assessing,5
15001,Inactive,168
15501,Scouting,27
15501,Assessing,5
15501,Inactive,168
16001,Scouting,27
16001,Assessing,5
16001,Inactive,168
16501,Scouting,27
16501,Assessing,5
16501,Inactive,168
17001,Scouting,27
17001,Assessing,5
17001,Inactive,168
17501,Scouting,27
17501,Assessing,5
17501,Inactive,168
18001,Scouting,27
18001,Assessing,5
18001,Inactive,168
18501,Scouting,27
18501,Assessing,5
18501,Inactive,168
19001,Scouting,27
19001,Assessing,5
19001,Inactive,168
19501,Scouting,27
19501,Assessing,5
19501,Inactive,168
20001,Scouting,26
20001,Assessing,6
20001,Inactive,168
20501,Scouting,26
20501,Assessing,6
20501,Inactive,168
21001,Scouting,26
21001,Assessing,5
21001,Recruiting,1
21001,Inactive,168
21501,Scouting,26
21501,Assessing,5
21501,Recruiting,1
21501,Inactive,168
22001,Scouting,26
22001,Assessing,5
22001,Recruiting,1
22001,Inactive,168
22501,Scouting,27
22501,Assessing,4
22501,Recruiting,1
22501,Inactive,168
23001,Scouting,27
23001,Assessing,4
23001,Recruiting,1
23001,Inactive,168
23501,Scouting,27
23501,Assessing,4
23501,Recruiting,1
23501,Inactive,167
23501,Following,1
24001,Scouting,27
24001,Assessing,4
24001,Recruiting,1
24001,Inactive,167
24001,Following,1
24501,Scouting,27
24501,Assessing,4
24501,Recruiting,1
24501,Inactive,167
24501,Following,1
25001,Scouting,27
25001,Assessing,4
25001,Recruiting,1
25001,Inactive,167
25001,Following,1
25501,Scouting,27
25501,Recruiting,3
25501,Assessing,2
25501,Inactive,167
25501,Following,1
26001,Scouting,27
26001,Recruiting,3
26001,Assessing,2
26001,Inactive,167
26001,Following,1
26501,Scouting,27
26501,Recruiting,3
26501,Assessing,2
26501,Inactive,167
26501,Following,1
27001,Scouting,26
27001,Recruiting,3
27001,Assessing,2
27001,Following,2
27001,Inactive,167
27501,Scouting,26
27501,Assessing,4
27501,Recruiting,2
27501,Following,1
27501,Inactive,167
28001,Scouting,25
28001,Assessing,5
28001,Recruiting,2
28001,Following,1
28001,Inactive,167
28501,Scouting,24
28501,Assessing,6
28501,Recruiting,2
28501,Following,1
28501,Inactive,167
29001,Scouting,24
29001,Assessing,6
29001,Recruiting,2
29001,Following,1
29001,Inactive,167
29501,Scouting,24
29501,Assessing,6
29501,Recruiting,2
29501,Following,1
29501,Inactive,167
30001,Scouting,24
30001,Assessing,6
30001,Recruiting,2
30001,Following,1
30001,Inactive,167
30501,Scouting,24
30501,Assessing,6
30501,Recruiting,2
30501,Following,2
30501,Inactive,166
31001,Scouting,24
31001,Assessing,7
31001,Recruiting,2
31001,Inactive,166
31001,Following,1
31501,Scouting,23
31501,Assessing,8
31501,Recruiting,2
31501,Inactive,166
31501,Following,1
32001,Scouting,23
32001,Assessing,8
32001,Recruiting,2
32001,Inactive,166
32001,Following,1
32501,Scouting,23
32501,Assessing,8
32501,Recruiting,2
32501,Inactive,166
32501,Following,1
33001,Assessing,9
33001,Scouting,22
33001,Recruiting,2
33001,Inactive,166
33001,Following,1
33501,Assessing,10
33501,Scouting,21
33501,Recruiting,2
33501,Inactive,166
33501,Following,1
34001,Assessing,10
34001,Scouting,21
34001,Recruiting,2
34001,Inactive,165
34001,Following,2
34501,Assessing,12
34501,Scouting,20
34501,Recruiting,2
34501,Inactive,165
34501,Following,1
35001,Assessing,12
35001,Scouting,20
35001,Recruiting,2
35001,Inactive,165
35001,Following,1
35501,Assessing,12
35501,Scouting,20
35501,Recruiting,2
35501,Inactive,165
35501,Following,1
36001,Assessing,12
36001,Scouting,20
36001,Recruiting,2
36001,Inactive,165
36001,Following,1
36501,Assessing,12
36501,Scouting,20
36501,Recruiting,2
36501,Inactive,165
36501,Following,1
37001,Assessing,12
37001,Scouting,20
37001,Recruiting,2
37001,Inactive,165
37001,Following,1
37501,Assessing,12
37501,Scouting,20
37501,Recruiting,2
37501,Inactive,164
37501,Following,2
38001,Assessing,14
38001,Scouting,19
38001,Recruiting,2
38001,Inactive,164
38001,Following,1
38501,Assessing,14
38501,Scouting,19
38501,Recruiting,2
38501,Inactive,164
38501,Following,1
39001,Assessing,14
39001,Scouting,19
39001,Recruiting,2
39001,Inactive,164
39001,Following,1
39501,Assessing,14
39501,Scouting,19
39501,Recruiting,2
39501,Inactive,164
39501,Following,1
40001,Assessing,14
40001,Following,2
40001,Scouting,18
40001,Recruiting,2
40001,Inactive,164
40501,Assessing,14
40501,Following,2
40501,Scouting,18
40501,Recruiting,2
40501,Inactive,164
41001,Assessing,13
41001,Following,2
41001,Scouting,18
41001,Recruiting,3
41001,Inactive,164
41501,Assessing,13
41501,Following,1
41501,Scouting,19
41501,Recruiting,3
41501,Inactive,164
42001,Assessing,13
42001,Following,1
42001,Scouting,19
42001,Recruiting,3
42001,Inactive,164
42501,Assessing,12
42501,Following,1
42501,Scouting,20
42501,Recruiting,3
42501,Inactive,164
43001,Assessing,12
43001,Scouting,21
43001,Recruiting,3
43001,Inactive,164
43501,Assessing,12
43501,Scouting,21
43501,Recruiting,3
43501,Inactive,163
43501,Following,1
44001,Assessing,12
44001,Scouting,21
44001,Recruiting,3
44001,Inactive,163
44001,Following,1
44501,Assessing,13
44501,Scouting,21
44501,Recruiting,2
44501,Inactive,163
44501,Following,1
45001,Assessing,12
45001,Scouting,20
45001,Recruiting,3
45001,Following,3
