Tick,State,Ants
1,Inactive,200
501,Inactive,200
1001,Inactive,200
1501,Inactive,190
1501,Scouting,10
2001,Scouting,26
2001,Inactive,174
2501,Scouting,30
2501,Inactive,170
3001,Scouting,30
3001,Inactive,170
3501,Scouting,30
3501,Inactive,170
4001,Scouting,30
4001,Inactive,170
4501,Scouting,30
4501,Inactive,170
5001,Scouting,30
5001,Inactive,170
5501,Scouting,30
5501,Inactive,170
6001,Scouting,30
6001,Inactive,170
6501,Scouting,30
6501,Inactive,170
7001,Scouting,30
7001,Inactive,170
7501,Scouting,30
7501,Inactive,170
8001,Scouting,30
8001,Inactive,170
8501,Scouting,30
8501,Inactive,170
9001,Scouting,30
9001,Inactive,170
9501,Scouting,30
9501,Inactive,170
10001,Scouting,28
10001,Assessing,2
10001,Inactive,170
10501,Scouting,27
10501,Assessing,3
10501,Inactive,170
11001,Scouting,26
11001,Assessing,4
11001,Inactive,170
11501,Scouting,26
11501,Assessing,4
11501,Inactive,170
12001,Scouting,25
12001,Assessing,5
12001,Inactive,170
12501,Scouting,25
12501,Assessing,5
12501,Inactive,170
13001,Scouting,25
13001,Assessing,5
13001,Inactive,170
13501,Scouting,25
13501,Assessing,5
13501,Inactive,170
14001,Scouting,25
14001,Assessing,5
14001,Inactive,170
14501,Scouting,25
14501,Assessing,5
14501,Inactive,170
15001,Scouting,25
15001,Assessing,5
15001,Inactive,170
15501,Scouting,25
15501,Assessing,5
15501,Inactive,170
16001,Scouting,25
16001,Assessing,5
16001,Inactive,170
16501,Scouting,25
16501,Assessing,5
16501,Inactive,170
17001,Scouting,25
17001,Assessing,5
17001,Inactive,170
17501,Scouting,25
17501,Assessing,5
17501,Inactive,170
18001,Scouting,25
18001,Assessing,5
18001,Inactive,170
18501,Scouting,24
18501,Assessing,6
18501,Inactive,170
19001,Scouting,24
19001,Assessing,6
19001,Inactive,170
19501,Scouting,24
19501,Assessing,6
19501,Inactive,170
20001,Scouting,24
20001,Assessing,6
20001,Inactive,170
20501,Scouting,24
20501,Assessing,6
20501,Inactive,170
21001,Scouting,24
21001,Assessing,6
21001,Inactive,170
21501,Scouting,24
21501,Assessing,6
21501,Inactive,170
22001,Scouting,24
22001,Assessing,6
22001,Inactive,170
22501,Scouting,24
22501,Assessing,6
22501,Inactive,170
23001,Scouting,25
23001,Assessing,5
23001,Inactive,170
23501,Scouting,25
23501,Assessing,5
23501,Inactive,170
24001,Scouting,25
24001,Assessing,5
24001,Inactive,170
24501,Scouting,25
24501,Assessing,5
24501,Inactive,170
25001,Scouting,25
25001,Assessing,5
25001,Inactive,170
25501,Scouting,25
25501,Assessing,5
25501,Inactive,170
26001,Scouting,25
26001,Assessing,5
26001,Inactive,170
26501,Scouting,25
26501,Assessing,5
26501,Inactive,170
27001,Scouting,27
27001,Assessing,3
27001,Inactive,170
27501,Scouting,26
27501,Assessing,3
27501,Recruiting,1
27501,Inactive,170
28001,Scouting,26
28001,Assessing,3
28001,Recruiting,1
28001,Inactive,170
28501,Scouting,24
28501,Assessing,4
28501,Following,1
28501,Recruiting,1
28501,Inactive,170
29001,Scouting,23
29001,Assessing,5
29001,Following,1
29001,Recruiting,1
29001,Inactive,170
29501,Scouting,23
29501,Assessing,5
29501,Following,1
29501,Recruiting,1
29501,Inactive,170
30001,Scouting,23
30001,Assessing,5
30001,Following,1
30001,Recruiting,1
30001,Inactive,170
30501,Scouting,23
30501,Assessing,5
30501,Following,1
30501,Recruiting,1
30501,Inactive,170
31001,Scouting,23
31001,Assessing,6
31001,Recruiting,1
31001,Inactive,170
31501,Scouting,23
31501,Assessing,6
31501,Recruiting,1
31501,Inactive,170
32001,Scouting,23
32001,Assessing,6
32001,Recruiting,1
32001,Inactive,170
32501,Scouting,22
32501,Assessing,7
32501,Recruiting,1
32501,Inactive,170
33001,Scouting,22
33001,Assessing,7
33001,Recruiting,1
33001,Inactive,170
33501,Scouting,22
33501,Assessing,7
33501,Recruiting,1
33501,Inactive,170
34001,Scouting,22
34001,Assessing,7
34001,Recruiting,1
34001,Inactive,170
34501,Scouting,22
34501,Assessing,7
34501,Recruiting,1
34501,Inactive,170
35001,Scouting,22
35001,Assessing,7
35001,Recruiting,1
35001,Inactive,170
35501,Scouting,22
35501,Assessing,7
35501,Recruiting,1
35501,Inactive,169
35501,Following,1
36001,Scouting,23
36001,Assessing,6
36001,Recruiting,1
36001,Inactive,169
36001,Following,1
36501,Scouting,23
36501,Assessing,6
36501,Recruiting,1
36501,Inactive,169
36501,Following,1
37001,Scouting,23
37001,Assessing,6
37001,Recruiting,1
37001,Inactive,169
37001,Following,1
37501,Scouting,23
37501,Assessing,6
37501,Recruiting,1
37501,Inactive,169
37501,Following,1
38001,Scouting,22
38001,Assessing,7
38001,Recruiting,1
38001,Inactive,169
38001,Following,1
38501,Scouting,22
38501,Assessing,7
38501,Recruiting,1
38501,Inactive,169
38501,Following,1
39001,Scouting,22
39001,Assessing,7
39001,Recruiting,1
39001,Inactive,169
39001,Following,1
39501,Scouting,22
39501,Assessing,6
39501,Recruiting,2
39501,Inactive,169
39501,Following,1
40001,Scouting,22
40001,Assessing,6
40001,Recruiting,2
40001,Inactive,169
40001,Following,1
40501,Scouting,22
40501,Assessing,7
40501,Recruiting,2
40501,Inactive,169
41001,Scouting,22
41001,Assessing,7
41001,Recruiting,2
41001,Inactive,169
41501,Scouting,22
41501,Assessing,7
41501,Recruiting,2
41501,Inactive,169
42001,Scouting,22
42001,Assessing,7
42001,Recruiting,2
42001,Inactive,168
42001,Following,1
42501,Scouting,22
42501,Assessing,6
42501,Recruiting,3
42501,Inactive,168
42501,Following,1
43001,Scouting,21
43001,Following,2
43001,Assessing,6
43001,Recruiting,3
43001,Inactive,168
43501,Scouting,21
43501,Following,2
43501,Assessing,6
43501,Recruiting,3
43501,Inactive,168
44001,Scouting,21
44001,Assessing,7
44001,Recruiting,3
44001,Inactive,168
44001,Following,1
44501,Scouting,21
44501,Assessing,7
44501,Recruiting,3
44501,Inactive,167
44501,Following,2
45001,Scouting,21
45001,Assessing,7
45001,Recruiting,3
45001,Inactive,167
45001,Following,2
45501,Scouting,22
45501,Assessing,6
45501,Recruiting,3
45501,Inactive,167
45501,Following,2
46001,Scouting,22
46001,Assessing,6
46001,Recruiting,3
46001,Inactive,167
46001,Following,2
46501,Scouting,23
46501,Assessing,5
46501,Recruiting,3
46501,Inactive,167
46501,Following,2
47001,Scouting,24
47001,Assessing,5
47001,Recruiting,3
47001,Inactive,167
47001,Following,1
47501,Scouting,25
47501,Assessing,4
47501,Recruiting,3
47501,Inactive,167
47501,Following,1
48001,Scouting,25
48001,Assessing,4
48001,Recruiting,3
48001,Inactive,167
48001,Following,1
48501,Scouting,24
48501,Assessing,6
48501,Recruiting,3
48501,Inactive,166
48501,Following,1
49001,Scouting,24
49001,Assessing,6
49001,Recruiting,3
49001,Inactive,166
49001,Following,1
